// Format: letter #|letter from passage|predicted letters|scan time
584|r|y!"#$|7
585|y|!"#$%|9
586| |p!"#$|3
587|s|a!"#$|6
588|a|r!"#$|5
589|f|t!"#$|8
590|e|i!"#$|6
591| |c!"#$|3
592|p|u!"#$|13
593|l|l!"#$|2
594|a|a!"#$|2
595|c|r!"#$|8
596|e|l,?!"|6
597|.|stprb|4
598| |hiry!|3
599|H|p!"#$|10
600|o|e!"#$|12
601|w|s!"#$|5
602| |,!"#$|3
603|l|!"#$%|13
604|o|l!"#$|12
605|n|i!"#$|11
606|g|k!"#$|9
607| |e!"#$|3
608|h|!"#$%|10
609|a|o!"#$|5
610|v|n!"#$|9
611|e|e!"#$|2
612| |s!"#$|3
613|y|!"#$%|9
614|o|w!"#$|12
615|u|i!"#$|10
616| |t!"#$|3
617|l|h!"#$|13
618|i|!"#$%|11
619|v|p!"#$|9
620|e|i!"#$|6
621|d|c!"#$|7
622| |t!"#$|3
623|i|u!"#$|11
624|n|r!"#$|11
625| |e!"#$|3
626|L|s!"#$|13
627|i|!"#$%|11
628|n|oatw!|11
629|c|fr!"#|8
630|o|!"#$%|12
631|l|.!"#$|13
632|n|!"#$%|11
633|t|!"#$%|8
634|o|a!"#$|12
635|n|n!"#$|2
636|,|!"#$%|5
637| |y!"#$|3
638|N|o!"#$|11
639|C|u!"#$|8
640|?|!"#$%|6
641| |trdfg|3
642|N|ehar!|11
643|i|i!"#$|2
644|n|n!"#$|2
645|e|k!"#$|6
646| |?,i!"|3
647|y|taiyo|5
648|e|f!"#$|6
649|a|!"#$%|5
650|r|atoiw|7
651|s|n!"#$|6
652|.|sfh!"|4
653| |tu!"#|3
654|O|o!"#$|2
655|K|r!"#$|12
656|,|y!"#$|5
657| |?!"#$|3
658|U|ti!"#|10
659|m|ho!"#|12
660|,|ae!"#|5
661| |t!"#$|3
662|y|,!"#$|9
663|o|yscwm|12
664|u|h!"#$|10
665|'|e!"#$|10
666|r|yr!"#|3
667|e|',!"#|6
668| |whcat|3
669|n|oaer!|11
670|o|l!"#$|12
671|w|d!"#$|5
672| |,!"#$|3
673|m|myhsw|2
674|a|o!"#$|5
675|r|u!"#$|7
676|r|,!"#$|7
677|i|tasw!|11
678|e|hao!"|6
679|d|ae!"#|7
680| |t!"#$|3
681|t|.!"#$|8
682|o|ysdhl|12
683| |o!"#$|3
684|t|u!"#$|8
685|h|!"#$%|10
686|e|rcwld|6
687| |ie!"#|3
688|m|kv!"#|12
689|a|e!"#$|5
690|n|d!"#$|11
691| |!"#$%|3
692|t|tfilo|2
693|h|o!"#$|10
694|a|r!"#$|5
695|t|,!"#$|8
696| |t!"#$|3
697|y|h!"#$|9
698|o|e!"#$|12
699|u|im!"#|10
700| |s!"#$|3
701|d|tab!"|7
702|a|ow!"#|5
703|t|!"#$%|8
704|e|gcrt!|6
705|d|e!"#$|7
706| |am!"#|3
707|i|d!"#$|11
708|n|!"#$%|11
709| |o!"#$|3
710|h|vn!"#|10
711|i|e!"#$|11
712|g|r!"#$|9
713|h|!"#$%|10
714| |ao!"#|3
715|s|n!"#$|6
716|c|d!"#$|8
717|h|!"#$%|10
718|o|otsag|2
719|o|v!"#$|12
720|l|e!"#$|13
721|.|r!"#$|4
722| |?!"#$|3
723|H|!"#$%|10
724|o|!"#$%|12
725|w|m!"#$|5
726| |,!"#$|3
727|d|!"#$%|7
728|i|!"#$%|11
729|d|!"#$%|7
730| |t!"#$|3
731|y|h!"#$|9
732|o|i!"#$|12
733|u|n!"#$|10
734| |k!"#$|3
735|m|!"#$%|12
736|e|tiwah|6
737|e|yao!"|6
738|t|!"#$%|8
739| |fdagp|3
740|h|ai!"#|10
741|i|v!"#$|11
742|m|o!"#$|12
743| |r!"#$|3
744|i|i!"#$|2
745|n|t!"#$|11
746| |e!"#$|3
747|h|,!.s"|10
748|i|sbptm|11
749|g|a!"#$|9
750|h|s!"#$|10
751| |!"#$%|3
752|s|"dhil|6
753|c|i!"#$|8
754|h|k!"#$|10
755|o|e!"#$|12
756|o|,-?!"|12
757|l|!"#$%|13
758|?|"yufh|6
759| |!"#$%|3
760|W|ei!"#|5
761|e|t!"#$|6
762|l|t!"#$|13
763|l|l!"#$|2
764|,|e!"#$|5
765| |!"#$%|3
766|a|g!"#$|5
767|c|e!"#$|8
768|t|d!"#$|8
769|u|-!"#$|10
770|a|m!"#$|5
771|l|i!"#$|13
772|l|d!"#$|13
773|y|i!"#$|9
774| |n!"#$|3
775|I|g!"#$|11
776| |!"#$%|3
777|m|ch!"#|12
778|e|o!"#$|6
779|t|o!"#$|8
780| |d!"#$|3
781|h|.";!#|10
782|i|"!#$%|11
783|m|!"#$%|12
784| |!"#$%|3
785|i|!"#$%|11
786|n|l!"#$|11
787| |o!"#$|3
788|j|v!"#$|11
789|u|e!"#$|10
790|n|d!"#$|11
791|i|!"#$%|11
792|o|t!"#$|12
793|r|ho!"#|7
794| |ea!"#|3
795|h|t!"#$|10
796|i|!"#$%|11
797|g|bjs!"|9
798|h|o!"#$|10
799|.|o!"#$|4
800| |k!"#$|3
801|A|,.!"#|5
802|n|!"#$%|11
803|d|"!#$%|7
804| |!"#$%|3
805|I|i!"#$|2
806| |t!"#$|3
807|w|t!"#$|5
808|a|l!"#$|5
809|s|e!"#$|6
810| |!"#$%|3
811|i|!"#$%|11
812|n|e!"#$|11
813| |d!"#$|3
814|t|-!"#$|8
815|h|m!"#$|10
816|e|i!"#$|6
817| |d!"#$|3
818|s|i!"#$|6
819|e|n!"#$|6
820|v|g!"#$|9
821|e|!"#$%|6
822|n|ch!"#|11
823|t|o!"#$|8
824|h|o!"#$|10
825| |d!"#$|3
826|g|.";!#|9
827|r|?!"#$|7
828|a|!"#$%|5
829|d|!"#$%|7
830|e|o!"#$|6
831| |!"#$%|3
832|a|w!"#$|5
833|n|h!"#$|11
834|d|e!"#$|7
835| |n!"#$|3
836|h|!"#$%|10
837|e|y!"#$|6
838| |o!"#$|3
839|w|u!"#$|5
840|a|!"#$%|5
841|s|wghsa|5
842| |eo!"#|3
843|i|am!"#|11
844|n|d!"#$|11
845| |!"#$%|3
846|t|tagos|2
847|h|ho!"#|2
848|e|!"#$%|6
849| |yh!"#|3
850|n|o!"#$|11
851|i|u!"#$|11
852|n|?r,!"|11
853|t|s!"#$|8
854|h|e!"#$|10
855| |l!"#$|3
856|g|f!"#$|9
857|r|!"#$%|7
858|a|oadgi|3
859|d|i!"#$|7
860|e|d!"#$|6
861|.|!"#$%|4
862| |y!"#$|3
863|A|o!"#$|5
864|n|u!"#$|11
865|d|!"#$%|7
866|,|r!"#$|5
867| |e!"#$|3
868|u|am!"#|10
869|m|dl!"#|12
870|,|?!"#$|5
871| |tagos|3
872|a|ir!"#|5
873|t|f!"#$|8
874| |f!"#$|3
875|l|e!"#$|13
876|u|r!"#$|10
877|n|e!"#$|11
878|c|n!"#$|8
879|h|t!"#$|10
880|t|,.l?!|8
881|i|ptscf|11
882|m|tihpc|12
883|e|ou!"#|6
884| |r!"#$|3
885|w|iye!"|5
886|h|e!"#$|10
887|a|s!"#$|5
888|t|.!"#$|8
889| |odatf|3
890|w|ho!"#|5
891|e|ae!"#|3
892| |tn!"#|3
893|d|!"#$%|7
894|i|t!"#$|11
895|d|h!"#$|7
896| |e!"#$|3
897|w|!"#$%|5
898|a|obscf|5
899|s|nt!"#|6
900| |e!"#$|3
901|w|s.!"#|5
902|e|!"#$%|6
903| |twfhl|3
904|w|h!"#$|5
905|o|ae!"#|12
906|u|y!"#$|10
907|l|!"#$%|13
908|d|hw!"#|7
909| |o!"#$|3
910|g|u!"#$|9
911|o|l!"#$|12
912| |d!"#$|3
913|t|,n!"#|8
914|o|ghsat|12
915| |eai!"|3
916|t|a!"#$|8
917|h|dl!"#|10
918|e|,!"#$|6
919| |timwa|3
920|g|oh!"#|9
921|y|!"#$%|9
922|m|myac!|2
923| |o!"#$|3
924|a|u!"#$|5
925|n|?r,!"|11
926|d|!"#$%|7
927| |!"#$%|3
928|e|m!"#$|6
929|v|m!"#$|9
930|e|,!"#$|6
931|r|!"#$%|7
932|y|b!"#$|9
933|b|a!"#$|10
934|o|s!"#$|12
935|d|i!"#$|7
936|y|c!"#$|9
937| |a!"#$|3
938|w|l!"#$|5
939|o|l!"#$|12
940|u|y!"#$|10
941|l|,.?!"|13
942|d|!"#$%|7
943| |uybde|3
944|e|o!"#$|6
945|a|m!"#$|5
946|t|e!"#$|8
947| |bt!"#|3
948|t|h!"#$|8
949|h|i!"#$|10
950|e|n!"#$|6
951|i|g!"#$|11
952|r|,.?'-|7
953| |tlaoe|3
954|l|i!"#$|13
955|u|f!"#$|10
956|n|f!"#$|11
957|c|e!"#$|8
958|h|r!"#$|10
959| |e!"#$|3
960|i|n!"#$|11
961|n|ct!"#|11
962| |,.l?!|3
963|t|!"#$%|8
964|h|!"#$%|10
965|e|i!"#$|6
966| |d!"#$|3
967|g|!"#$%|9
968|y|y!"#$|2
969|m|o!"#$|12
970| |u!"#$|3
971|o|!"#$%|12
972|n|heglm|11
973| |oeru!|3
974|t|t!"#$|2
975|h|!"#$%|10
976|e|mciot|6
977| |oh!"#|3
978|b|!"#$%|10
979|l|dg!"#|13
980|e|o!"#$|6
981|a|,.!"#|5
982|c|to!"#|8
983|h|o!"#$|10
984|e|!"#$%|6
985|r|tscab|7
986|s|ho!"#|6
987| |er!"#|3
988|a|,!"#$|5
989|n|bmghl|11
990|d|i!"#$|7
991| |bt!"#|3
992|t|r!"#$|8
993|h|a!"#$|10
994|e|r!"#$|6
995|y|yi!"#|2
996| |.?,!"|3
997|w|abijw|6
998|o|h!"#$|12
999|u|e!"#$|10
1000|l|n!"#$|13
1001|d|!"#$%|7
1002| |y!"#$|3
1003|h|o!"#$|10
1004|a|u!"#$|5
1005|v|'!"#$|9
1006|e|wghsa|6
1007|,|ea!"#|5
1008| |rn!"#|3
1009|t|e!"#$|8
1010|h|n!"#$|10
1011|e|aglty|6
1012|y|io!"#|9
1013| |t!"#$|3
1014|w|t!"#$|5
1015|o|l!"#$|12
1016|u|e!"#$|10
1017|l|?.,!"|13
1018|d|!"#$%|7
1019| |!"#$%|3
1020|p|h!"#$|13
1021|l|-!"#$|13
1022|a|h!"#$|5
1023|y|u!"#$|9
1024| |h!"#$|3
1025|r|,!"#$|7
1026|e|!"#$%|6
1027|c|a!"#$|8
1028|o|ln!"#|12
1029|r|l!"#$|7
1030|d|!"#$%|7
1031|s|t!"#$|6
1032| |h!"#$|3
1033|a|eo!"#|5
1034|n|y!"#$|11
1035|d|tcgou|7
1036| |irhow|3
1037|t|m!"#$|8
1038|h|e!"#$|10
1039|e|.,!?"|6
1040|n|!"#$%|11
1041| |/!"#$|3
1042|t|e!"#$|8
1043|h|a!"#$|10
1044|e|h!"#$|6
1045| |.!"#$|3
1046|k|!"#$%|12
1047|i|!"#$%|11
1048|d|o!"#$|7
1049|s|,-!"#|6
1050| |!"#$%|3
1051|w|wy!"#|2
1052|o|o!"#$|2
1053|u|u!"#$|2
1054|l|!"#$%|13
1055|d|kacrw|7
1056| |eo!"#|3
1057|d|u!"#$|7
1058|a|l!"#$|5
1059|n|d!"#$|11
1060|c|n,!"#|8
1061|e|lrghs|6
1062|.|hr!"#|4
1063| |e!"#$|3
1064|O|c!"#$|12
1065|f|k!"#$|8
1066| |!"#$%|3
1067|c|b!"#$|8
1068|o|o!"#$|2
1069|u|o!"#$|10
1070|r|k!"#$|7
1071|s|s!"#$|2
1072|e|!"#$%|6
1073|,|ao!"#|5
1074| |u!"#$|3
1075|y|t!"#$|9
1076|o|?!"#$|12
1077|u|!"#$%|10
1078| |!"#$%|3
1079|k|h!"#$|12
1080|n|-!"#$|11
1081|o|h!"#$|12
1082|w|u!"#$|5
1083|,|h!"#$|5
1084| |.!"#$|3
1085|I|!"#$%|11
1086| |!"#$%|3
1087|w|yao!"|5
1088|a|s!"#$|5
1089|s|t!"#$|6
1090| |l!"#$|3
1091|v|y!"#$|9
1092|e|,!"#$|6
1093|r|!"#$%|7
1094|y|s!"#$|9
1095| |!"#$%|3
1096|s|l!"#$|6
1097|k|i!"#$|12
1098|i|k!"#$|11
1099|n|e!"#$|11
1100|n|d!"#$|11
1101|y|!"#$%|9
1102|,|hti!"|5
1103| |ho!"#|3
1104|I|,!"#$|11
1105| |rhcdl|3
1106|w|p!"#$|5
1107|a|e!"#$|5
1108|s|n!"#$|6
1109| |d!"#$|3
1110|c|!"#$%|8
1111|u|twamo|10
1112|t|ih!"#|8
1113|e|m!"#$|6
1114| |e!"#$|3
1115|b|,!"#$|10
1116|u|irt!"|10
1117|t|e!"#$|8
1118| |a!"#$|3
1119|n|d!"#$|11
1120|o|i!"#$|12
1121|t|n!"#$|8
1122| |g!"#$|3
1123|t|!"#$%|8
1124|h|acemn|10
1125|e|anx!"|6
1126| |c!"#$|3
1127|k|y!"#$|12
1128|i|c!"#$|11
1129|n|l!"#$|11
1130|d|o!"#$|7
1131| |p!"#$|3
1132|o|e!"#$|12
1133|f|d!"#$|8
1134| |i!"#$|3
1135|g|a!"#$|9
1136|i|s!"#$|11
1137|r|-.!"#|7
1138|l|-!"#$|13
1139| |!"#$%|3
1140|t|!"#$%|8
1141|h|h!"#$|2
1142|a|,!"#$|5
1143|t|!"#$%|8
1144| |r!"#$|3
1145|g|e!"#$|9
1146|u|a!"#$|10
1147|y|l!"#$|9
1148|s|l!"#$|6
1149| |y!"#$|3
1150|w|?!"#$|5
1151|e|!"#$%|6
1152|r|-!"#$|7
1153|e|-!"#$|6
1154| |w!"#$|3
1155|l|h!"#$|13
1156|o|e!"#$|12
1157|o|n!"#$|12
1158|k|!"#$%|12
1159|i|!"#$%|11
1160|n|!"#$%|11
1161|g|w!"#$|9
1162| |a!"#$|3
1163|a|s!"#$|5
1164|t|,n!"#|8
1165|,|ailfg|5
1166| |i!"#$|3
1167|a|tk!"#|5
1168|n|te!"#|11
1169|d|l!"#$|7
1170|,|e!"#$|5
1171| |.,!"#|3
1172|I|!"#$%|11
1173| |!"#$%|3
1174|b|o!"#$|10
1175|u|u!"#$|2
1176|t|!"#$%|8
1177| |l!"#$|3
1178|I|i!"#$|2
1179| |k!"#$|3
1180|u|e!"#$|10
